age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
26, Male, Never Married, White, Some College, Middle Atlantic, Industrial, <=Good, No,4.602059991,99.6894637
46, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.06069784,157.7005277
18, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,3.903089987,49.55533812
43, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.505149978,90.48191336
62, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.716003344,111.7208494
44, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5,148.4131591
40, Male, Married, White, Some College, Middle Atlantic, Information, <=Good, Yes,4.892094603,133.2323508
43, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.903089987,134.7053751
32, Male, Never Married, Asian, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.77815125,118.8843593
48, Male, Never Married, Black, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.477121255,87.98103279
35, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
61, Male, Married, White, Some College, Middle Atlantic, Information, <=Good, Yes,4.875061263,130.9821774
47, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.491361694,89.24288466
55, Male, Divorced, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.633468456,102.8702469
28, Male, Divorced, Other, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.342422681,76.89360252
52, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, <=Good, No,5.008600172,149.6950421
27, Male, Never Married, Black, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.633468456,102.8702469
22, Male, Married, Black, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.505149978,90.48191336
20, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.247482261,69.92912721
42, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.672097858,106.9218141
29, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.477121255,87.98103279
31, Male, Never Married, White, College Grad, Middle Atlantic, Information, <=Good, Yes,4.698970004,109.8339856
59, Male, Divorced, White, Some College, Middle Atlantic, Information, <=Good, Yes,5.021189299,151.5914842
36, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5,148.4131591
32, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.204119983,66.96164432
32, Male, Never Married, White, Some College, Middle Atlantic, Information, <=Good, Yes,4.643452676,103.9024706
25, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
43, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, No,4.903089987,134.7053751
44, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,3.77815125,43.73511168
57, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.759667845,116.7071546
49, Male, Married, Black, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.954242509,141.7751723
41, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.973127854,144.4780877
38, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.903089987,134.7053751
58, Male, Married, White, < HS Grad, Middle Atlantic, Information, <=Good, Yes,4.77815125,118.8843593
59, Male, Married, Asian, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,5.243038049,189.2441629
39, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.079181246,160.6424754
60, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.564677898,96.03165702
56, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.710117365,111.0651943
44, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5,148.4131591
70, Male, Married, Black, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
27, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.397940009,81.28325328
47, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.77815125,118.8843593
41, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.84509804,127.1157438
29, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.653212514,104.9215065
42, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.72427587,112.6488963
51, Male, Divorced, White, College Grad, Middle Atlantic, Information, <=Good, Yes,5.641005851,281.7459706
47, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.740378482,114.4775211
48, Male, Married, Black, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.716003344,111.7208494
39, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.903089987,134.7053751
23, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.322219295,75.35567932
31, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.785329835,119.7408513
59, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.77815125,118.8843593
19, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,3.301029996,27.14057921
42, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.204119983,182.020621
35, Male, Married, Asian, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.176091259,65.11085372
38, Male, Married, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.954242509,141.7751723
45, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.740362689,114.4757133
58, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, No,4.909695067,135.5980598
26, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.763427994,117.1468169
30, Male, Never Married, Asian, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.602059991,99.6894637
54, Male, Separated, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.626899559,277.7994802
38, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.544068044,94.07271475
44, Male, Married, Asian, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.544068044,94.07271475
52, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.568201724,96.37065283
73, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.322219295,75.35567932
65, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.653212514,104.9215065
28, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, No,4.556302501,95.23071257
53, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4,54.59815003
53, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.491361694,89.24288466
52, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.977723605,145.1436012
27, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.57333584,96.86670324
57, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.875061263,130.9821774
32, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.431363764,84.04595765
51, Male, Never Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.998259338,148.1550467
43, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,3.903089987,49.55533812
50, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.954242509,141.7751723
53, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.748188027,115.3750386
54, Male, Married, Asian, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.176091259,65.11085372
24, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.447158031,85.38394038
40, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.62324929,101.8243521
30, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,4.556302501,95.23071257
45, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
55, Male, Divorced, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.991226076,147.1166892
45, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.944482672,140.3982002
44, Male, Never Married, Black, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
37, Male, Widowed, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.84509804,127.1157438
41, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.748188027,115.3750386
44, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.079181246,59.09706408
52, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.342422681,76.89360252
55, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.954242509,141.7751723
43, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.261405627,70.90958587
27, Male, Never Married, Asian, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.301029996,200.5432623
43, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.579783597,97.49329405
46, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.602059991,99.6894637
30, Male, Married, White, Some College, Middle Atlantic, Information, <=Good, Yes,5.230448921,186.8766776
43, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.397940009,81.28325328
48, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5.079181246,160.6424754
33, Male, Never Married, Black, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.158362492,63.96669083
29, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.477121255,87.98103279
24, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.301029996,73.77574327
52, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.977723605,145.1436012
50, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, No,4.954242509,141.7751723
24, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.342422681,76.89360252
42, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.819543936,123.9085676
53, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.77815125,118.8843593
49, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.631919406,279.197497
46, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4,54.59815003
40, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5.041392685,154.685293
41, Male, Never Married, Asian, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.193124598,180.0301971
41, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
36, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.477121255,87.98103279
34, Male, Married, Black, Some College, Middle Atlantic, Information, <=Good, No,4.51851394,91.69922611
24, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, No,4.079181246,59.09706408
44, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.819543936,123.9085676
33, Male, Married, Black, College Grad, Middle Atlantic, Information, >=Very Good, No,4.698970004,109.8339856
25, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.544068044,94.07271475
40, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.763427994,117.1468169
48, Male, Never Married, Asian, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.176091259,65.11085372
56, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.579783597,97.49329405
25, Male, Never Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.770852012,118.0197533
44, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.954242509,141.7751723
27, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.755112266,116.1766952
58, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.322219295,75.35567932
52, Male, Divorced, Black, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.556302501,95.23071257
60, Male, Never Married, White, Advanced Degree, Middle Atlantic, Industrial, <=Good, Yes,4.716003344,111.7208494
39, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.643452676,103.9024706
51, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.991226076,147.1166892
31, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.477121255,87.98103279
45, Male, Widowed, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.77815125,118.8843593
43, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.612783857,100.7642728
45, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.792391689,120.5894365
40, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,5.267171728,193.8668781
46, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.77815125,118.8843593
51, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.590617833,267.9010869
47, Male, Divorced, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.161368002,174.402876
52, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.897627091,133.9715001
31, Male, Divorced, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,5.041392685,154.685293
40, Male, Married, Black, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.041392685,154.685293
26, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
49, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.556302501,95.23071257
38, Male, Divorced, White, Some College, Middle Atlantic, Industrial, <=Good, No,4.698970004,109.8339856
50, Male, Married, Other, < HS Grad, Middle Atlantic, Information, <=Good, No,4.716003344,111.7208494
63, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.903089987,134.7053751
35, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.453195986,85.90104432
29, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.77815125,118.8843593
33, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.477121255,87.98103279
29, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.531478917,92.89584479
62, Male, Divorced, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
45, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.826074803,124.7204462
56, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.851258349,127.901233
58, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.579783597,97.49329405
39, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.290034611,198.3502905
49, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.531478917,92.89584479
24, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.544068044,94.07271475
61, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5,148.4131591
58, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.380211242,79.85490031
47, Male, Married, Asian, Some College, Middle Atlantic, Information, >=Very Good, No,4.77815125,118.8843593
41, Male, Separated, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.477121255,87.98103279
71, Male, Married, White, < HS Grad, Middle Atlantic, Information, <=Good, Yes,4.544068044,94.07271475
47, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5.01110503,150.0704769
38, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,5.176091259,176.9896505
31, Male, Never Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.301029996,73.77574327
56, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.829303773,125.1238157
44, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.626899559,277.7994802
33, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.681241237,107.9039239
36, Male, Never Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.106598813,60.73977852
31, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.522183318,92.0363233
55, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
48, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.204119983,66.96164432
50, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.740362689,114.4757133
42, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,5.139879086,170.6951277
25, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.875061263,130.9821774
55, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.84509804,127.1157438
28, Male, Never Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,4.763427994,117.1468169
30, Male, Married, Other, < HS Grad, Middle Atlantic, Information, <=Good, No,4.812913357,123.0896998
46, Male, Never Married, Black, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.792391689,120.5894365
48, Male, Divorced, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.875061263,130.9821774
42, Male, Divorced, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.397940009,81.28325328
23, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, No,3.602059991,36.6737042
60, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, No,4.653212514,104.9215065
34, Male, Married, Black, < HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.309630167,74.41296351
45, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.860338007,129.0678205
28, Male, Never Married, White, Some College, Middle Atlantic, Industrial, <=Good, No,4.432006687,84.10001012
33, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.225309282,185.9186629
58, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.662757832,105.9278108
47, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.096910013,163.515864
24, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.146128036,63.188861
56, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.903089987,134.7053751
56, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.79518459,120.9267015
23, Male, Never Married, Other, College Grad, Middle Atlantic, Information, <=Good, Yes,4.544068044,94.07271475
56, Male, Married, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.886490725,132.4878211
45, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.892094603,133.2323508
58, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.977723605,145.1436012
30, Male, Married, Asian, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
46, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, No,5.012837225,150.3306535
48, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.631084414,278.9644667
50, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.587710965,98.26923081
43, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
37, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.544068044,94.07271475
49, Male, Divorced, White, Some College, Middle Atlantic, Information, >=Very Good, No,5.176091259,176.9896505
31, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.113943352,166.3249412
54, Male, Married, Asian, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.544068044,94.07271475
52, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.939519253,139.7030715
70, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.361727836,78.3924668
30, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.954247335,141.7758565
44, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.755874856,116.2653241
34, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5,148.4131591
38, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.477121255,87.98103279
28, Male, Separated, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.505149978,90.48191336
38, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.954242509,141.7751723
39, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.144605339,63.09271673
52, Male, Never Married, White, College Grad, Middle Atlantic, Information, <=Good, Yes,4.176091259,65.11085372
34, Male, Never Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5.021189299,151.5914842
33, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.812913357,123.0896998
45, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,4.77815125,118.8843593
58, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.380211242,79.85490031
38, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.644438589,104.0049599
63, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, No,4.017033339,55.53610442
38, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
31, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.602059991,99.6894637
53, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.265032557,193.4526069
21, Male, Never Married, Black, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.633468456,102.8702469
38, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.103803721,164.6469889
18, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.243038049,69.6190369
28, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
33, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.740362689,114.4757133
32, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.602059991,99.6894637
29, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.556302501,95.23071257
28, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.414973348,82.6796373
42, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.761687332,116.9430813
28, Male, Widowed, White, < HS Grad, Middle Atlantic, Information, <=Good, No,4,54.59815003
36, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.929418926,138.2991269
47, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.875061263,130.9821774
53, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.641005851,281.7459706
48, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.096910013,163.515864
36, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.18858541,179.214858
55, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.838849091,126.3238807
37, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.255272505,70.47601965
68, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, Yes,4.770852012,118.0197533
65, Male, Married, Other, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.267171728,71.31963879
37, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.740362689,114.4757133
33, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.929418926,138.2991269
19, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4,54.59815003
50, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.544068044,94.07271475
22, Male, Never Married, White, Some College, Middle Atlantic, Industrial, <=Good, No,4.387389826,80.43020795
40, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.491361694,89.24288466
45, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.763427994,117.1468169
36, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, No,4.84509804,127.1157438
37, Male, Married, Asian, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.397940009,81.28325328
24, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,3.959041392,52.40706405
66, Male, Married, Black, < HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
35, Male, Married, Asian, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.146128036,63.188861
33, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.278753601,196.1252726
44, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.62324929,101.8243521
48, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.681241237,107.9039239
47, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,3.936513742,51.23965492
41, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
55, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.146128036,63.188861
74, Male, Divorced, Black, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,5,148.4131591
33, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
62, Male, Married, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.875061263,130.9821774
56, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.62324929,101.8243521
29, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
56, Male, Never Married, Black, < HS Grad, Middle Atlantic, Information, <=Good, No,4.380211242,79.85490031
47, Male, Married, Black, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.079181246,160.6424754
45, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.903089987,134.7053751
44, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.079181246,160.6424754
25, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.51851394,91.69922611
45, Male, Divorced, Black, Some College, Middle Atlantic, Information, >=Very Good, No,4.322219295,75.35567932
40, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.913813852,136.1577108
56, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.903089987,134.7053751
56, Male, Married, Asian, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.40654018,81.98531783
